Station_Name,total_trains,unique_trains
SAHIBGANJ,54,54
PENDRA ROAD,54,54
SAGAULI JN.,54,54
KHUSROPUR,54,54
DEULA,54,54
PARASNATH,54,54
CHITTOOR,54,54
SATUR,54,54
JHAPANDANGA,54,54
DIAMOND HARB,54,54
BAYANA,54,54
PIMPRI,54,54
HARIHAR JN.,53,53
MAHEMADAVAD,53,53
GURUDAS NAGA,53,53
LONDA JN.,53,53
SABARMATI JN,53,53
PALGHAR,53,53
YERRA GUNTLA,53,53
BISHNUPUR,53,53
BELGAUM,53,53
CHANGANACHER,53,53
MEDCHAL,53,53
ACHHNERA JN.,52,52
RASULPUR,52,52
MELMARUVATHU,52,52
EGATTUR,52,52
PHILLAUR JN.,52,52
PALSIT,52,52
UDHAMPUR,52,52
BURHANPUR,52,52
PANA GARH,52,52
BETHERIA GHO,52,52
VARKALA,52,52
SRI KALAHAST,52,52
PATHANKOT JN,52,52
KHURJA JN,52,52
JANGHAI JN.,52,52
DEHU ROAD,52,52
AMROHA,51,51
THIVIM,51,51
PAYYANUR,51,51
MADPUR,50,50
WHITE FIELD,50,50
HOSHANGABAD,50,50
HAVERI,50,50
TINPAHAR JN.,50,50
BHIWANI JN.,50,49
JAMUI,50,50
GIRI MAIDAN,50,50
KHANA JN.,50,50
SAHARSA JN.,50,50
SHIKOHABAD J,50,50
NARKATIAGANJ,50,50
DONGAR GARH,50,50
YELAHANKA JN,50,50
JOYCHANDI PA,49,49
JALESWAR,49,49
VANCHI MANIY,49,49
GANJ BASODA,49,49
BELLAMPALLI,49,49
TIPTUR,49,49
FARIDABAD NE,49,49
DAUSA,49,49
CHATRAPUR,49,49
SHYAM CHAK,49,49
KHIRAI,49,49
KENGERI,48,48
KARUNAGAPPAL,48,48
MUMBAI CENTR,48,48
KESINGA,48,48
DAPODI,48,48
RANIBENNUR,48,48
DHENKANAL,48,48
ASAOTI,48,48
JAKPUR,48,48
BHIWANDI ROA,48,48
SAKHIGOPAL,48,48
ANGAMALI (FO,48,48
CHALISGAON J,48,48
SILIGURI JN.,48,48
GOKULPUR,48,48
MEGHNAGAR,48,48
NALGONDA,48,48
MIRYALAGUDA,48,48
AKURDI,48,48
SENJIPANAMBA,47,47
HATIA,47,47
CHALAKUDI,47,47
VARANASI CIT,47,47
MANAVUR,47,47
GYANPUR ROAD,47,47
VANIYAMBADI,47,47
NIDUBROLU,47,47
MOSUR,47,47
PULIYAMANGAL,47,47
DORNAKAL JN.,47,47
KADUR,47,47
DHANIOIAKHAL,47,47
KATNI MURWAR,47,47
